win, score - 10, heart - 4
game over, score - 4, heart - 0
game over, score - 1, heart - 0
game over, score - 1, heart - 0
win, score - 10, heart - 4
win, score - 10, heart - 4
win, score - 10, heart - 4
win, score - 10, heart - 2
game over, score - 0, heart - 0
win, score - 10, heart - 4
win, score - 10, heart - 4
win, score - 10, heart - 4
game over, score - 0, heart - 0
game over, score - 4, heart - 0
win, score - 10, heart - 4
game over, score - 2, heart - 0
win, score - 10, heart - 4
game over, score - 7, heart - 0
game over, score - 3, heart - 0
win, score - 10, heart - 3
game over, score - 2, heart - 0
game over, score - 1, heart - 0
game over, score - 0, heart - 0
game over, score - 0, heart - 0
game over, score - 1, heart - 0
game over, score - 0, heart - 0
game over, score - 0, heart - 0
win, score - 10, heart - 4
game over, score - 1, heart - 0
win, score - 10, heart - 4
game over, score - 0, heart - 0
game over, score - 1, heart - 0
win, score - 10, heart - 3
game over, score - 5, heart - 0
game over, score - 1, heart - 0
win, score - 10, heart - 4
win, score - 10, heart - 4
win, score - 10, heart - 4
win, score - 10, heart - 3
win, score - 10, heart - 2
win, score - 10, heart - 1
win, score - 10, heart - 3
game over, score - 0, heart - 0
win, score - 10, heart - 3
game over, score - 0, heart - 0
win, score - 10, heart - 4
game over, score - 0, heart - 0
game over, score - 0, heart - 0
game over, score - 0, heart - 0
game over, score - 0, heart - 0
game over, score - 0, heart - 0
game over, score - 0, heart - 0
game over, score - 0, heart - 0
win, score - 10, heart - 4
game over, score - 2, heart - 0
game over, score - 0, heart - 0
game over, score - 1, heart - 0
game over, score - 4, heart - 0
game over, score - 6, heart - 0
win, score - 10, heart - 3
game over, score - 6, heart - 0
game over, score - 2, heart - 0
game over, score - 9, heart - 0
win, score - 10, heart - 3
game over, score - 9, heart - 0
game over, score - 0, heart - 0
game over, score - 0, heart - 0
win, score - 10, heart - 3
game over, score - 2, heart - 0
win, score - 10, heart - 2
game over, score - 0, heart - 0
game over, score - 1, heart - 0
